Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10852434	89.16808079469459	44.0	129.71652737226722	36.36363636363637	40616493.0
SRR10852435	89.572650797945	43.0	147.10594502073707	27.27272727272727	42939026.0
SRR10852436	89.63482637680438	43.0	149.6463625228509	27.27272727272727	46186352.0
SRR10852437	89.01443907489184	43.0	145.94478158183188	27.27272727272727	40974064.0
SRR10852438	90.3529155026055	43.0	139.46862353920957	36.36363636363637	48819974.0
SRR10852439	89.33359329063907	43.0	146.96254164869686	27.27272727272727	46445931.0
SRR10852440	87.97944779965553	43.0	147.69602049708	27.27272727272727	47176671.0
SRR10852441	87.41585982253712	43.0	145.34431269941567	27.27272727272727	47134901.0
SRR10852442	87.71220723750668	43.0	139.20075375009134	36.36363636363637	45741686.0
SRR10852443	88.90897453595777	43.0	144.10958716324967	36.36363636363637	60248270.0
SRR10852447	88.79769921564565	43.0	148.23425471570397	27.27272727272727	51847349.0
SRR10852450	86.06275839992237	43.0	149.54155177318174	27.27272727272727	36958507.0
