File	Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene
/tmp/tmp.TA5UvcE7QJ/SRR10852434.fastq	Day0	40616493	20654965	0.5085	77441	2466	0.1995	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852437.fastq	Day0	40974064	26689244	0.6514	77441	1112	0.1654	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852440.fastq	Day0	47176671	31356907	0.6647	77441	409	0.09845	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852435.fastq	MOLM-13.DMSO_1	42939026	28192266	0.6566	77441	2056	0.2163	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852438.fastq	MOLM-13.DMSO_2	48819974	28828738	0.5905	77441	2081	0.2221	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852441.fastq	MOLM-13.DMSO_3	47134901	30060983	0.6378	77441	659	0.1228	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852443.fastq	MOLM-13.Midostaurin_3	60248270	38320364	0.636	77441	322	0.1013	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852447.fastq	MOLM-13.Midostaurin_4	51847349	35024491	0.6755	77441	385	0.1019	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852450.fastq	MOLM-13.Midostaurin_5	36958507	25112845	0.6795	77441	274	0.08472	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852436.fastq	MOLM-13.Gilteritinib_1	46186352	31340482	0.6786	77441	1157	0.1919	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852439.fastq	MOLM-13.Gilteritinib_2	46445931	30565612	0.6581	77441	1997	0.2178	0	1	1	1	0.0
/tmp/tmp.TA5UvcE7QJ/SRR10852442.fastq	MOLM-13.Gilteritinib_3	45741686	27199696	0.5946	77441	588	0.1235	0	1	1	1	0.0
