Sample,Concentration,Data,Raw_Data,Cells
UNC5C,500uM,1116.5,2265,3278.700315
UNC5C,500uM,1564.5,2713,4435.806066
UNC5C,500uM,1873.5,3022,5213.211464
UNC5C,500uM,2268.5,3417,6187.922908
UNC5C,500uM,2368.5,3517,6431.763173
UNC5C,500uM,2737.5,3886,7322.639289
UNC5C,500uM,3029.5,4178,8018.705037
UNC5C,500uM,3092.5,4241,8167.945962
UNC5C,50uM,657.5,1806,2040.17709
UNC5C,50uM,766.5,1915,2340.73585
UNC5C,50uM,1165.5,2314,3407.33043
UNC5C,50uM,1322.5,2471,3815.809514
UNC5C,50uM,1495.5,2644,4260.119449
UNC5C,50uM,1526.5,2675,4339.153208
UNC5C,50uM,2053.5,3202,5659.794204
UNC5C,10uM,2087.5,3236,5743.680982
UNC5C,10uM,2219.5,3368,6068.03522
UNC5C,10uM,2247.5,3396,6136.575808
UNC5C,10uM,2504.5,3653,6761.679308
UNC5C,10uM,3178.5,4327,8371.162856
UNC5C,10uM,3267.5,4416,8580.867257
UNC5C,10uM,3273.5,4422,8594.983075
UNC5C,5uM,1926.5,3075,5345.151038
UNC5C,5uM,2266.5,3415,6183.034846
UNC5C,5uM,2596.5,3745,6983.796542
UNC5C,5uM,2892.5,4041,7693.038957
UNC5C,5uM,2936.5,4085,7797.803899
UNC5C,5uM,3592.5,4741,9341.727607
UNC5C,5uM,3984.5,5133,10250.00564
UNC5C,2.5uM,1869.5,3018,5203.238124
UNC5C,2.5uM,2523.5,3672,6807.619927
UNC5C,2.5uM,2947.5,4096,7823.969526
UNC5C,2.5uM,4130.5,5279,10585.87165
UNC5C,2.5uM,4976.5,6125,12509.1448
UNC5C,2.5uM,5310.5,6459,13258.77644
UNC5C,2.5uM,5477.5,6626,13631.73634
UNC5C,2.5uM,5910.5,7059,14593.34331
UNC5C,1.25uM,3552.5,4701,9248.483016
UNC5C,1.25uM,4914.5,6063,12369.42476
UNC5C,1.25uM,5467.5,6616,13609.43707
UNC5C,1.25uM,7260.5,8409,17546.9028
UNC5C,1.25uM,8823.5,9972,20896.03674
UNC5C,1.25uM,10481.5,11630,24381.74981
UNC5C,1.25uM,10928.5,12077,25311.31482
UNC5C,1.25uM,14972.5,16121,33559.88393
UNC5C,0.625uM,5651.5,6800,14019.07302
UNC5C,0.625uM,8518.5,9667,20247.70988
UNC5C,0.625uM,9826.5,10975,23012.10922
UNC5C,0.625uM,13304.5,14453,30189.9461
UNC5C,0.625uM,14164.5,15313,31932.60986
UNC5C,0.625uM,14642.5,15791,32896.41199
UNC5C,0.625uM,19090.5,20239,41721.8053
UNC5C,0.625uM,20342.5,21491,44165.12948
UNC5C,0uM,22948.5,24097,49201.92987
UNC5C,0uM,24663.5,25812,52483.83176
UNC5C,0uM,34573.5,35722,71031.38543
UNC5C,0uM,34725.5,35874,71311.1109
UNC5C,0uM,36080.5,37229,73799.15756
UNC5C,0uM,39558.5,40707,80141.93482
UNC5C,0uM,40043.5,41192,81021.69956
UNC5C,0uM,47074.5,48223,93657.95928
SETX,500uM,543.875,1561,1721.25456
SETX,500uM,412.875,1430,1344.677428
SETX,500uM,737.875,1755,2262.262671
SETX,500uM,764.875,1782,2336.28931
SETX,500uM,1018.875,2036,3020.639345
SETX,500uM,308.875,1326,1036.805085
SETX,500uM,147.875,1165,535.9144967
SETX,500uM,835.875,1853,2529.682567
SETX,50uM,562.875,1580,1775.032008
SETX,50uM,1268.875,2286,3676.888425
SETX,50uM,1131.875,2149,3319.123367
SETX,50uM,519.875,1537,1653.044187
SETX,50uM,320.875,1338,1072.822279
SETX,50uM,884.875,1902,2662.148029
SETX,50uM,1035.875,2053,3065.755564
SETX,50uM,533.875,1551,1692.872443
SETX,10uM,1530.875,2548,4350.293645
SETX,10uM,1340.875,2358,3863.275944
SETX,10uM,1207.875,2225,3518.115407
SETX,10uM,1068.875,2086,3153.115575
SETX,10uM,379.875,1397,1247.971822
SETX,10uM,662.875,1680,2055.113528
SETX,10uM,1347.875,2365,3881.340547
SETX,5uM,736.875,1754,2259.51559
SETX,5uM,1528.875,2546,4345.201285
SETX,5uM,522.875,1540,1661.58811
SETX,5uM,2406.875,3424,6525.050283
SETX,5uM,3593.875,4611,9344.930962
SETX,5uM,1745.875,2763,4893.877961
SETX,5uM,3415.875,4433,8929.161684
SETX,5uM,1739.875,2757,4878.806698
SETX,2.5uM,2858.875,3876,7612.86538
SETX,2.5uM,3700.875,4718,9593.823343
SETX,2.5uM,4678.875,5696,11836.73572
SETX,2.5uM,3457.875,4475,9027.46361
SETX,2.5uM,3236.875,4254,8508.77563
SETX,2.5uM,3229.875,4247,8492.2876
SETX,1.25uM,5308.875,6326,13255.1414
SETX,1.25uM,7571.875,8589,18219.63657
SETX,1.25uM,4393.875,5411,11188.6656
SETX,1.25uM,3890.875,4908,10033.95377
SETX,1.25uM,3602.875,4620,9365.895234
SETX,1.25uM,5303.875,6321,13243.95594
SETX,1.25uM,5397.875,6415,13454.06024
SETX,0.625uM,8621.875,9639,20467.71659
SETX,0.625uM,1651.875,2669,4657.12897
SETX,0.625uM,5516.875,6534,13719.49865
SETX,0.625uM,6286.875,7304,15423.23901
SETX,0.625uM,7508.875,8526,18083.75955
SETX,0.625uM,11672.875,12690,26850.61104
SETX,0.625uM,9530.875,10548,22390.85939
SETX,0.625uM,3996.875,5014,10278.52279
SETX,0uM,26403.875,27421,55790.09204
SETX,0uM,33891.875,34909,69775.40856
SETX,0uM,34463.875,35481,70829.56322
SETX,0uM,38643.875,39661,78479.78424
SETX,0uM,37306.875,38324,76042.64468
SETX,0uM,35034.875,36052,71880.06063
SETX,0uM,44874.875,45892,89727.33617
SETX,0uM,44297.875,45315,88692.98066
NT_Control,500uM,853.875,1913,2578.434837
NT_Control,500uM,2118.875,3178,5820.96512
NT_Control,500uM,1301.875,2361,3762.44901
NT_Control,500uM,1482.875,2542,4227.883628
NT_Control,500uM,1213.875,2273,3533.768781
NT_Control,500uM,1367.875,2427,3932.900109
NT_Control,500uM,913.875,1973,2740.184315
NT_Control,500uM,839.875,1899,2540.525765
NT_Control,50uM,1850.875,2910,5156.770435
NT_Control,50uM,1004.875,2064,2983.426007
NT_Control,50uM,1750.875,2810,4906.43323
NT_Control,50uM,2052.875,3112,5658.250822
NT_Control,50uM,2023.875,3083,5586.583839
NT_Control,50uM,2373.875,3433,6444.838862
NT_Control,50uM,1580.875,2640,4477.38021
NT_Control,50uM,970.875,2030,2892.824305
NT_Control,10uM,4700.875,5760,11886.58832
NT_Control,10uM,1759.875,2819,4929.023322
NT_Control,10uM,2588.875,3648,6965.418882
NT_Control,10uM,6259.875,7319,15363.88058
NT_Control,10uM,3940.875,5000,10149.40177
NT_Control,10uM,5545.875,6605,13784.09459
NT_Control,10uM,3967.875,5027,10211.68022
NT_Control,10uM,3110.875,4170,8211.414716
NT_Control,5uM,2326.875,3386,6330.397456
NT_Control,5uM,4289.875,5349,10951.09986
NT_Control,5uM,4496.875,5556,11423.37097
NT_Control,5uM,3397.875,4457,8886.993861
NT_Control,5uM,3377.875,4437,8840.113448
NT_Control,5uM,3257.875,4317,8558.217496
NT_Control,5uM,4354.875,5414,11099.64776
NT_Control,2.5uM,4152.875,5212,10637.23408
NT_Control,2.5uM,4788.875,5848,12085.75723
NT_Control,2.5uM,5200.875,6260,13013.28967
NT_Control,2.5uM,6712.875,7772,16356.35206
NT_Control,2.5uM,5327.875,6387,13297.63616
NT_Control,2.5uM,4162.875,5222,10660.18003
NT_Control,2.5uM,4913.875,5973,12368.01537
NT_Control,1.25uM,2979.875,4039,7900.920928
NT_Control,1.25uM,8459.875,9519,20122.81858
NT_Control,1.25uM,11308.875,12368,26099.21198
NT_Control,1.25uM,6959.875,8019,16894.54053
NT_Control,1.25uM,10858.875,11918,25166.78938
NT_Control,1.25uM,12797.875,13857,29157.8909
NT_Control,1.25uM,8644.875,9704,20516.62865
NT_Control,1.25uM,7472.875,8532,18006.06231
NT_Control,0.625uM,3476.875,4536,9071.892638
NT_Control,0.625uM,7196.875,8256,17409.07366
NT_Control,0.625uM,13425.875,14485,30436.58877
NT_Control,0.625uM,11053.875,12113,25571.32333
NT_Control,0.625uM,30284.875,31344,63083.7923
NT_Control,0.625uM,23832.875,24892,50897.3817
NT_Control,0.625uM,25918.875,26978,54871.06242
NT_Control,0.625uM,12535.875,13595,28622.50606
NT_Control,0uM,29202.875,30262,61060.69263
NT_Control,0uM,34340.875,35400,70603.03778
NT_Control,0uM,24216.875,25276,51631.50471
NT_Control,0uM,27945.875,29005,58700.54421
NT_Control,0uM,29417.875,30477,61463.30704
NT_Control,0uM,30178.875,31238,62885.93242
ADAM2,500uM,417.625,1721,1358.529504
ADAM2,500uM,494.625,1798,1580.926176
ADAM2,500uM,829.625,2133,2512.729246
ADAM2,500uM,1125.625,2429,3302.698168
ADAM2,500uM,1307.625,2611,3777.334057
ADAM2,500uM,566.625,1870,1785.623472
ADAM2,500uM,495.625,1799,1583.7895
ADAM2,500uM,716.625,2020,2203.802904
ADAM2,50uM,631.625,1935,1968.093803
ADAM2,50uM,1442.625,2746,4124.919929
ADAM2,50uM,879.625,2183,2647.992549
ADAM2,50uM,622.625,1926,1942.94987
ADAM2,50uM,575.625,1879,1811.013336
ADAM2,50uM,666.625,1970,2065.526832
ADAM2,50uM,1311.625,2615,3787.684854
ADAM2,50uM,589.625,1893,1850.426897
ADAM2,10uM,664.625,1968,2059.973831
ADAM2,10uM,2496.625,3800,6742.627513
ADAM2,10uM,3257.625,4561,8557.629098
ADAM2,10uM,1796.625,3100,5021.142185
ADAM2,10uM,3360.625,4664,8799.655893
ADAM2,10uM,2711.625,4015,7260.596855
ADAM2,10uM,1710.625,3014,4805.256442
ADAM2,10uM,1999.625,3303,5526.573385
ADAM2,5uM,1161.625,2465,3397.178945
ADAM2,5uM,1402.625,2706,4022.299156
ADAM2,5uM,1277.625,2581,3699.597263
ADAM2,5uM,3211.625,4515,8449.283442
ADAM2,5uM,2900.625,4204,7712.397168
ADAM2,5uM,2224.625,3528,6080.58729
ADAM2,5uM,3884.625,5188,10019.51195
ADAM2,5uM,2655.625,3959,7126.109525
ADAM2,2.5uM,1245.625,2549,3616.468262
ADAM2,2.5uM,4388.625,5692,11176.68724
ADAM2,2.5uM,2544.625,3848,6858.656414
ADAM2,2.5uM,3113.625,4417,8217.917942
ADAM2,2.5uM,7017.625,8321,17020.083
ADAM2,2.5uM,4049.625,5353,10399.97807
ADAM2,2.5uM,5389.625,6693,13435.63557
ADAM2,2.5uM,5990.625,7294,14770.46608
ADAM2,1.25uM,6688.625,7992,16303.40375
ADAM2,1.25uM,6355.625,7659,15574.26371
ADAM2,1.25uM,5990.625,7294,14770.46608
ADAM2,1.25uM,6466.625,7770,15817.74221
ADAM2,1.25uM,6322.625,7626,15501.79318
ADAM2,1.25uM,5099.625,6403,12786.07873
ADAM2,0.625uM,5578.625,6882,13857.00121
ADAM2,0.625uM,6104.625,7408,15022.04855
ADAM2,0.625uM,16412.625,17716,36437.957
ADAM2,0.625uM,11945.625,13249,27412.0441
ADAM2,0.625uM,11106.625,12410,25680.62685
ADAM2,0.625uM,17294.625,18598,38187.53253
ADAM2,0.625uM,11458.625,12762,26408.63858
ADAM2,0.625uM,12932.625,14236,29432.80096
ADAM2,0uM,34757.625,36061,71370.21418
ADAM2,0uM,46867.625,48171,93289.11154
ADAM2,0uM,39723.625,41027,80441.58831
ADAM2,0uM,42892.625,44196,86167.9577
ADAM2,0uM,31245.625,32549,64873.87839
ADAM2,0uM,34964.625,36268,71750.91485
ADAM2,0uM,33456.625,34760,68972.03466
CDC45UI,500uM,1017.625,1950,3017.318899
CDC45UI,500uM,1532.625,2465,4354.748892
CDC45UI,500uM,1434.625,2367,4104.41972
CDC45UI,500uM,1026.625,1959,3041.21667
CDC45UI,500uM,705.625,1638,2173.470779
CDC45UI,500uM,1242.625,2175,3608.663607
CDC45UI,500uM,1196.625,2129,3488.743482
CDC45UI,500uM,816.625,1749,2477.423623
CDC45UI,50uM,2026.625,2959,5593.384409
CDC45UI,50uM,1331.625,2264,3839.389798
CDC45UI,50uM,1577.625,2510,4469.132432
CDC45UI,50uM,1452.625,2385,4150.528568
CDC45UI,50uM,1779.625,2712,4978.553995
CDC45UI,50uM,2213.625,3146,6053.64255
CDC45UI,50uM,1491.625,2424,4250.228309
CDC45UI,50uM,1264.625,2197,3665.852545
CDC45UI,10uM,4352.625,5285,11094.50959
CDC45UI,10uM,5359.625,6292,13368.61199
CDC45UI,10uM,4048.625,4981,10397.67714
CDC45UI,10uM,8728.625,9661,20694.61824
CDC45UI,10uM,6412.625,7345,15699.348
CDC45UI,10uM,6532.625,7465,15962.3067
CDC45UI,10uM,3029.625,3962,8019.001468
CDC45UI,10uM,5998.625,6931,14788.13714
CDC45UI,5uM,3250.625,4183,8541.152039
CDC45UI,5uM,5442.625,6375,13553.94919
CDC45UI,5uM,4255.625,5188,10872.73249
CDC45UI,5uM,3513.625,4446,9157.756195
CDC45UI,5uM,6188.625,7121,15207.11201
CDC45UI,5uM,3475.625,4408,9068.970454
CDC45UI,5uM,4288.625,5221,10948.24088
CDC45UI,2.5uM,4431.625,5364,11274.75203
CDC45UI,2.5uM,3820.625,4753,9871.487827
CDC45UI,2.5uM,4445.625,5378,11306.65869
CDC45UI,2.5uM,2518.625,3451,6795.835975
CDC45UI,2.5uM,7877.625,8810,18877.42067
CDC45UI,2.5uM,6656.625,7589,16233.50324
CDC45UI,2.5uM,5645.625,6578,14006.01529
CDC45UI,1.25uM,4964.625,5897,12482.398
CDC45UI,1.25uM,8091.625,9024,19336.23144
CDC45UI,1.25uM,4860.625,5793,12247.86586
CDC45UI,1.25uM,4813.625,5746,12141.7046
